[2026-02-11 23:42:02] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-11 23:42:02] AUTH_FAILED | User: hacker | Invalid credentials
[2026-02-11 23:51:03] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-11 23:51:03] COMMAND | User: operator1 | FC: 6
[2026-02-11 23:51:04] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-11 23:51:04] COMMAND | User: operator1 | FC: 6
[2026-02-11 23:51:06] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-11 23:51:06] COMMAND | User: operator1 | FC: 6
[2026-02-11 23:51:07] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-11 23:51:07] COMMAND | User: operator1 | FC: 6
[2026-02-11 23:51:08] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-11 23:51:08] COMMAND | User: operator1 | FC: 6
[2026-02-11 23:51:08] COMMAND | User: operator1 | FC: 6
[2026-02-11 23:51:09] COMMAND | User: operator1 | FC: 6
[2026-02-11 23:51:09] COMMAND | User: operator1 | FC: 6
[2026-02-11 23:51:09] COMMAND | User: operator1 | FC: 6
[2026-02-11 23:51:09] COMMAND | User: operator1 | FC: 6
[2026-02-11 23:51:10] COMMAND | User: operator1 | FC: 6
[2026-02-11 23:51:10] COMMAND | User: operator1 | FC: 6
[2026-02-11 23:51:10] COMMAND | User: operator1 | FC: 6
[2026-02-11 23:51:11] COMMAND | User: operator1 | FC: 6
[2026-02-11 23:51:11] COMMAND | User: operator1 | FC: 6
[2026-02-11 23:51:11] COMMAND | User: operator1 | FC: 6
[2026-02-12 00:03:44] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:03:44] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-02-12 00:03:47] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:03:47] BLOCKED | User: operator1 | FC:6 Reg:0 Val:50 - Temperature value 50 outside safe range (15-30)
[2026-02-12 00:03:48] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:03:48] BLOCKED | User: operator1 | FC:6 Reg:0 Val:5 - Temperature value 5 outside safe range (15-30)
[2026-02-12 00:03:49] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:03:49] ALLOWED | User: operator1 | FC:6 Reg:1 Val:50
[2026-02-12 00:03:51] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:03:51] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-02-12 00:03:51] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-02-12 00:03:51] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-02-12 00:03:51] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-02-12 00:03:52] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-02-12 00:03:52] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-02-12 00:03:52] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:03:53] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:03:53] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:03:53] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:03:54] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:03:54] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:40] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:40] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-02-12 00:08:40] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:40] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-02-12 00:08:41] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:41] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-02-12 00:08:41] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:41] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-02-12 00:08:41] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:41] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-02-12 00:08:41] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:41] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-02-12 00:08:41] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:41] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-02-12 00:08:41] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:41] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-02-12 00:08:41] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:41] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-02-12 00:08:41] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:41] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-02-12 00:08:41] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:41] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-02-12 00:08:41] AUTH_SUCCESS | User: operator1 | Login successful
[2026-02-12 00:08:41] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
