[2026-03-19 21:34:52] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-19 21:34:58] ALLOWED | User: operator1 | FC:6 Reg:0 Val:30
[2026-03-19 21:35:54] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-19 21:35:58] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-19 21:36:24] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-19 21:36:33] BLOCKED | User: operator1 | FC:6 Reg:0 Val:50 - Temperature value 50 outside safe range (15-30)
[2026-03-19 21:38:13] AUTH_FAILED | User: hacker | Invalid credentials (attempt 1/3)
[2026-03-19 21:38:16] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-19 21:38:16] BLOCKED | User: operator1 | FC:6 Reg:0 Val:80 - Temperature value 80 outside safe range (15-30)
[2026-03-19 21:39:13] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-19 21:39:13] BLOCKED | User: operator1 | FC:6 Reg:0 Val:5 - Temperature value 5 outside safe range (15-30)
[2026-03-19 21:39:37] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-19 21:39:37] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-19 21:39:37] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-19 21:39:38] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-19 21:39:38] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-19 21:39:38] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-19 21:39:39] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-19 21:39:39] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-19 21:39:40] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-19 21:39:40] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-19 21:39:40] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-19 21:39:41] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-19 21:39:41] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-19 21:39:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-19 21:39:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-19 21:39:42] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-19 21:40:23] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-19 21:40:23] BLOCKED | User: operator1 | FC:16 Reg:0 - Function code 16 not permitted for role operator
[2026-03-21 22:09:05] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-21 22:09:12] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-21 22:09:22] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-21 22:09:44] BLOCKED | User: operator1 | FC:6 Reg:0 Val:50 - Temperature value 50 outside safe range (15-30)
[2026-03-21 22:10:00] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-21 22:10:09] BLOCKED | User: operator1 | FC:6 Reg:0 Val:5 - Temperature value 5 outside safe range (15-30)
